,F_MAMH,F_MANH,F_SISO,F_TCPHONG
348,CI4173,L01,40.0,
349,CI4175,L01,40.0,.
350,CI4235,L01,100.0,
351,CI4165,L01,60.0,LH
352,CI2045,L01,30.0,LH
353,CI2139,L01,90.0,LH
354,CI4131,L01,60.0,LH
355,CI2133,L01,80.0,LH
356,CI3231,L01,60.0,LH
357,CI4129,L01,60.0,LH
358,CI3289,L01,90.0,LH
359,CI3291,L01,90.0,LH
360,CI3061,L01,60.0,LH
361,CI4161,L01,60.0,LH
362,CI4197,L01,60.0,LH
363,CI4189,L01,60.0,LH
364,CI3269,L01,60.0,LH
365,CI4023,L01,60.0,LH
366,CI2149,L01,30.0,O6
367,CI2155,L01,25.0,CL
368,CI4187,L01,85.0,LH
369,CI3267,L01,60.0,LH
370,CI1007,L01,25.0,LH
371,CI2151,A01,60.0,QT
372,CI5001,A01,60.0,.
373,CI5013,A01,40.0,QT
374,CI2109,A01,60.0,.
375,CI4123,L01,40.0,.
376,CI3221,L01,40.0,.
377,CI4317,L01,900.0,.
378,CI4313,L01,900.0,.
379,CI4343,L01,900.0,.
380,EE3181,A01,100.0,
381,EE4007,A01,100.0,
382,EE4347,A01,100.0,
383,EE2033,A01,30.0,QT
384,EE3009,A01,25.0,QT
385,EE2003,A03,80.0,QT
386,EE2021,L01,90.0,LH
387,EE2019,L01,60.0,LH
388,EE4009,L01,500.0,
389,EE4011,L01,76.0,
390,EE4007,L01,65.0,
391,EE3013,L01,80.0,LH
392,EE2033,L01,60.0,LH
393,EE2009,L01,80.0,LH
394,EE3097,L01,72.0,LH
395,EE1005,L01,31.0,LH
396,EE3015,L01,60.0,LH
397,EE3025,L01,80.0,LH
398,EE1009,L01,90.0,LH
399,EE2081,L01,40.0,LH
400,EE3003,L01,60.0,LH
401,EE2025,L01,24.0,T1
402,EE2023,L01,30.0,M
403,EE3217,L01,60.0,LH
404,EE3185,A02,60.0,.
405,EE3183,A02,500.0,.
406,EE5001,A01,500.0,.
407,EE4337,L01,500.0,.
408,ME2006,L01,25.0,X2
409,ME2010,L01,25.0,X9
410,ME4202,L01,60.0,LH
411,ME4204,CC01,60.0,QT
412,ME3004,CC01,25.0,DL
413,ME3004,L01,25.0,DL
414,ME3034,L01,25.0,CC
415,ME3202,L01,25.0,
416,ME3208,L01,25.0,C2
417,ME3240,L01,25.0,
418,ME4008,CC01,30.0,C2
419,ME4008,L01,30.0,C2
420,ME4612,L01,60.0,LH
421,ME4618,L01,60.0,LH
422,IU3012,L01,25.0,NU
423,IU3068,L01,25.0,XL
424,ME3282,L01,25.0,TC
425,ME1016,L01,60.0,LH
426,ME2090,L01,40.0,TK
427,ME2092,L01,70.0,LH
428,ME3028,L01,35.0,TK
429,ME3216,L01,60.0,LH
430,ME4004,L01,60.0,LH
431,GE1028,CC01,60.0,QT
432,GE1014,A01,35.0,.
433,GE4070,L01,60.0,LH
434,GE2036,L01,80.0,LH
435,GE2032,L01,60.0,LH
436,GE2038,L01,60.0,LH
437,GE1012,L01,60.0,LH
438,GE2042,L01,60.0,LH
439,GE2056,L01,60.0,LH
440,GE1028,L01,60.0,LH
441,GE3178,L01,60.0,LH
442,GE2034,L01,20.0,DC
443,GE2036,A01,60.0,QT
444,GE1014,CC07,35.0,.
445,GE2012,L01,60.0,LH
446,GE4086,L01,60.0,LH
447,TR2012,L01,60.0,LH
448,TR4022,L01,30.0,GT
449,TR2034,L01,60.0,LH
450,TR4002,L01,25.0,GT
451,CH4052,CC01,25.0,""""
452,CH3430,CC01,20.0,MP
453,CH4052,L01,25.0,""""
454,CH4140,L01,20.0,V6
455,CH3400,L01,20.0,{}
456,CH3410,L01,20.0,{}
457,CH2022,L01,80.0,LH
458,CH2028,L01,20.0,LO
459,EN2050,L01,60.0,LH
460,CO3138,CC01,35.0,F2
461,CO2014,CC01,40.0,TH
462,CO2036,CC01,30.0,5
463,CO3138,L01,40.0,HM
464,CO2014,L01,40.0,HM
465,CO2038,L01,30.0,N5
466,CO2036,L01,35.0,N5
467,AS2002,L01,80.0,LH
468,AS1004,L01,60.0,LH
469,PH2006,A01,60.0,QT
470,MA3158,CC01,20.0,SI
471,MA3166,CC01,60.0,QT
472,MA1004,L01,60.0,LH
473,MA3022,L01,60.0,LH
474,MA3102,L01,60.0,LH
475,MA2040,A01,20.0,N8
476,MA3130,A01,60.0,QT
477,MA3128,A01,60.0,QT
478,CI3262,CC01,60.0,QT
479,CI3264,CC01,60.0,QT
480,CI2100,CC01,60.0,QT
481,CI4154,L01,20.0,VX
482,CI2138,L01,90.0,LH
483,CI2136,L01,80.0,LH
484,CI4146,L01,60.0,LH
485,CI2096,L01,30.0,Y
486,CI4166,L01,60.0,LH
487,CI2046,L01,30.0,VI
488,CI3062,L01,60.0,LH
489,CI4198,L01,60.0,LH
490,CI3270,L01,60.0,LH
491,CI1008,L01,25.0,HD
492,EE2034,A01,30.0,MD
493,EE3010,A01,25.0,N
494,EE2004,A03,80.0,QT
495,EE2022,L01,18.0,T4
496,EE2020,L01,30.0,G
497,EE3014,L01,20.0,ET
498,EE2034,L01,30.0,O2
499,EE2010,L01,40.0,ND
500,EE3098,L01,18.0,E
501,EE1006,L01,31.0,LH
502,EE1010,L01,30.0,T6
503,EE2082,L01,40.0,ND
504,CH2021,L02,80.0,LH
505,CH2022,L02,80.0,LH
506,CH2028,L02,20.0,LO
507,CH2028,L03,20.0,LO
508,CH2021,L03,80.0,LH
509,CH2022,L03,80.0,LH
510,CH4079,L02,80.0,LH
511,CH4079,L03,80.0,LH
512,CH4079,L04,80.0,LH
513,CH4079,L05,80.0,LH
514,CH4079,L06,70.0,LH
515,CH4079,L07,80.0,LH
516,CH4079,CC02,80.0,QT
517,CH4085,L02,60.0,LH
518,CH4125,CC02,60.0,QT
519,CH4125,L02,75.0,LH
520,CH4125,L03,75.0,LH
521,CH4125,L04,75.0,LH
522,CH4125,L05,75.0,LH
523,CI2096,L02,30.0,Y
524,CI2133,L02,80.0,LH
525,CI2137,L02,90.0,LH
526,CI2138,L02,90.0,LH
527,CO2014,L02,40.0,HM
528,CO2013,L02,80.0,LH
529,CO2014,L03,40.0,HM
530,CO2014,L04,40.0,HM
531,CO2036,L02,35.0,N5
532,CO2036,L03,35.0,N5
533,CO3138,L02,40.0,HM
534,EE1010,L02,30.0,T6
535,EE1010,L03,30.0,T6
536,EE1009,L02,90.0,LH
537,EE1010,L04,30.0,T6
538,EE1010,L05,30.0,T6
539,EE1010,L06,30.0,T6
540,EE2010,L02,40.0,ND
541,EE2009,L02,40.0,LH
542,EE2010,L03,40.0,ND
543,EE2020,L02,30.0,G
544,EE2019,L02,60.0,LH
545,EE2020,L03,30.0,G
546,EE2020,L04,30.0,G
547,EE2022,L02,18.0,T4
548,EE2022,L03,18.0,T4
549,EE2022,L04,18.0,T4
550,EE2022,L05,18.0,T4
551,EE2023,L02,30.0,M
552,EE2023,L03,30.0,M
553,EE2025,L02,24.0,T1
554,EE2025,L03,24.0,T1
555,EE2034,L02,30.0,O2
556,EE2033,L02,60.0,LH
557,EE2034,L03,30.0,O2
558,EE2034,L04,30.0,O2
559,EE3014,L02,20.0,ET
560,EE3014,L03,20.0,ET
561,EE3014,L04,20.0,ET
562,EE3098,L02,18.0,E
563,EE3098,L03,18.0,E
564,EE3098,L04,18.0,E
565,EE3031,CC01,60.0,QT
566,GE2036,CC01,60.0,QT
567,GE2035,L02,80.0,LH
568,GE2036,L02,80.0,LH
569,IM1031,L02,80.0,LH
570,IM3047,L02,80.0,LH
571,IM3047,L03,80.0,LH
572,ME2006,L02,25.0,X2
573,ME2010,L02,25.0,X9
574,ME2010,L03,25.0,X9
575,ME2090,L02,40.0,TK
576,ME2117,L02,35.0,CM
577,ME3004,L02,25.0,DL
578,ME3004,L03,25.0,DL
579,ME3028,L02,35.0,TK
580,ME3240,L02,25.0,
581,ME3282,L02,25.0,TC
582,ME3297,L02,60.0,LH
583,ME4008,L02,30.0,C2
584,ME4533,L02,70.0,LH
585,ME4617,L02,60.0,LH
586,ME4618,L02,60.0,LH
587,ME4625,L02,70.0,LH
588,ME4625,L03,70.0,LH
589,ME4625,L04,70.0,LH
590,ME4625,L05,70.0,LH
591,PH1003,L02,120.0,LH
592,PH1003,L03,120.0,LH
593,PH1003,L04,120.0,LH
594,TR4087,L02,60.0,LH
595,TR4087,L03,60.0,LH
596,GE1014,A02,35.0,.
597,GE1014,A03,35.0,.
598,GE1013,A02,70.0,QT
599,GE1014,A04,35.0,.
600,GE1014,A05,35.0,.
601,PH1003,CC02,80.0,QT
602,CO2014,CC02,40.0,TH
603,CO2013,CC02,40.0,QT
604,CO2014,CC03,40.0,TH
605,CO2036,CC02,30.0,5
606,CH1003,L17,120.0,LH
607,CH1003,L18,120.0,LH
608,CH1003,L19,120.0,LH
609,CH1003,CC07,70.0,QT
610,CH1003,CC08,70.0,QT
611,CH3001,CC03,20.0,;
612,CI1033,L08,70.0,LH
613,CI1069,L07,120.0,LH
614,CI2001,L02,80.0,LH
615,CI2001,L03,80.0,LH
616,CI2001,CC02,80.0,QT
617,CI2003,L06,75.0,LH
618,CI3243,L03,60.0,LH
619,CO1003,L02,80.0,LH
620,CO1007,L04,120.0,LH
621,CO2003,L04,70.0,LH
622,CO3011,L02,60.0,LH
623,CO3027,L02,60.0,LH
624,CO3029,L03,60.0,LH
625,CO3029,CC02,60.0,QT
626,CO3037,L02,80.0,LH
627,CO3043,L02,60.0,LH
628,CO3049,L02,80.0,LH
629,CO3061,L02,60.0,LH
630,CO3061,L03,60.0,LH
631,CO3061,CC02,60.0,QT
632,CO3065,L02,60.0,LH
633,CO3093,L03,80.0,LH
634,CO3117,L02,60.0,LH
635,CO3117,L03,60.0,LH
636,EE1007,CC03,60.0,QT
637,EE1007,L06,90.0,LH
638,EE2003,L04,120.0,LH
639,EE2005,L05,80.0,LH
640,EE2035,L06,110.0,LH
641,EE2039,L06,120.0,LH
642,EE3145,L02,60.0,LH
643,GE1013,CC02,70.0,QT
644,GE1013,CC03,70.0,QT
645,GE1013,L03,120.0,LH
646,GE1013,L04,120.0,LH
647,GE1013,L05,120.0,LH
648,GE1013,L06,120.0,LH
649,IM1013,L02,120.0,LH
650,IM1015,L03,80.0,LH
651,IM1019,L03,80.0,LH
652,IM1019,L04,80.0,LH
653,IM1019,L05,80.0,LH
654,IM1021,L02,120.0,LH
655,IM1021,L03,120.0,LH
656,IM1021,L04,120.0,LH
657,IM1021,L05,120.0,LH
658,IM1021,CC02,80.0,QT
659,IM1023,L02,120.0,LH
660,IM1025,L03,135.0,LH
661,IM1025,L04,135.0,LH
662,IM1025,L05,135.0,LH
663,IM1025,L06,135.0,LH
664,ME1021,CC03,70.0,QT
665,ME2003,CC02,80.0,QT
666,ME2177,L02,60.0,LH
667,ME3001,L02,75.0,LH
668,ME3001,CC02,50.0,QT
669,MT1005,L15,140.0,LH
670,MT1007,L09,140.0,LH
671,MT1007,L10,140.0,LH
672,MT1007,L08,140.0,LH
673,MT1009,L13,130.0,LH
674,MT1009,CC06,80.0,QT
675,ME2087,CC05,25.0,X1
676,ME2087,CC04,25.0,X1
677,CH1004,CC13,35.0,VC
678,CH1004,CC14,35.0,VC
679,CH1004,CC15,35.0,VC
680,CH1004,CC16,35.0,VC
681,CH1004,L49,40.0,HH
682,CH1004,L50,40.0,HH
683,CH1004,L51,40.0,HH
684,CH1004,L52,40.0,HH
685,CH1004,L53,40.0,HH
686,CH1004,L54,40.0,HH
687,CH1004,L55,36.0,HH
688,CH1004,L56,36.0,HH
689,CH1004,L57,36.0,HH
690,CI1034,L15,35.0,CI
691,CI1034,L16,35.0,CI
692,CI2002,CC03,40.0,S
693,CI2002,CC04,40.0,S
694,CI2002,L03,40.0,S
695,CI2002,L04,40.0,S
696,CI2002,L05,40.0,S
697,CI2002,L06,40.0,S
698,CI2004,L16,25.0,CL
699,CI2004,L17,25.0,CL
700,CO1004,L03,40.0,CI
701,CO1004,L04,40.0,CI
702,CO2004,L07,35.0,HM
703,CO2004,L08,35.0,HM
704,CO3038,L03,35.0,N5
705,CO3038,L04,35.0,N5
706,CO3050,L03,40.0,HM
707,CO3050,L04,40.0,HM
708,CO3094,L07,40.0,HM
709,CO3094,L08,40.0,HM
