MAKEM,MAMH,TENMH,TENMH_ENG,MASUBJECTAREA,SOTC,SOTC_HP,SOTIET,SOTIET_XEPTKB,loai_mh,f_lt,f_bt,f_tn,f_btl,f_da,f_la,f_tq,f_makh,mau
,003601,PHAP VAN 1              ,French 1                                                                                                                          ,LA,3,3,60,45,Lec,45,15,0,0,0,0,0,TN,
,003602,PHAP VAN 2              ,French 2                                                                                                                          ,LA,3,3,60,45,Lec,45,15,0,0,0,0,0,TN,
,003603,PHAP VAN 3              ,French 3                                                                                                                          ,LA,2,2,675,45,Prsn,0,45,0,225,0,0,0,TN,
,003701,TIENG PHAP 1            ,French 1                                                                                                                          ,LA,5,5,75,75,Lec,75,0,0,0,0,0,0,TN,
,003702,TIENG PHAP 2            ,French 2                                                                                                                          ,LA,5,5,75,75,Lec,75,0,0,0,0,0,0,TN,
,003703,TIENG PHAP 3            ,French 3                                                                                                                          ,LA,5,5,75,75,Lec,75,0,0,0,0,0,0,TN,
,003704,TIENG PHAP 4            ,French 4                                                                                                                          ,LA,5,5,75,75,Lec,75,0,0,0,0,0,0,TN,
,003705,TIENG PHAP 5            ,French 5                                                                                                                          ,LA,0,3,45,45,Lec,45,0,0,0,0,0,0,TN,
,003706,TIENG PHAP 6            ,French 6                                                                                                                          ,LA,0,3,45,45,Lec,45,0,0,0,0,0,0,TN,
,003707,TIENG PHAP 7            ,French 7                                                                                                                          ,LA,0,3,45,45,Lec,45,0,0,0,0,0,0,TN,
,003708,TIENG PHAP 8            ,French 8                                                                                                                          ,LA,0,3,45,45,Lec,45,0,0,0,0,0,0,TN,
,003709,MIP(TPHAP HNHAP NNGHIEP),MIP                                                                                                                               ,LA,1,1,15,15,Lec,15,0,0,0,0,0,0,TN,
,003710,PHAP VAN A1 (TU CHON)   ,French A1                                                                                                                         ,LA,3,3,45,45,Lec,45,0,0,0,0,0,0,TN,
,003711,PHAP VAN A2 (TU CHON)   ,French A2                                                                                                                         ,LA,3,3,45,45,Lec,45,0,0,0,0,0,0,TN,
,003712,PHAP VAN A3 (TU CHON)   ,French A3                                                                                                                         ,LA,0,3,45,45,Lec,45,0,0,0,0,0,0,TN,
,003713,PHAP VAN A4 (TU CHON)   ,French A4                                                                                                                         ,LA,0,3,45,45,Lec,45,0,0,0,0,0,0,TN,
,003714,TIENG PHAP 4 (TU CHON)  ,French 4                                                                                                                          ,LA,0,3,45,45,Lec,45,0,0,0,0,0,0,TN,
,003715,TIENG PHAP 5 (TU CHON)  ,French 5                                                                                                                          ,LA,0,3,45,45,Lec,45,0,0,0,0,0,0,TN,
,003716,TIENG PHAP 3            ,French 3                                                                                                                          ,LA,10,10,150,150,Lec,150,0,0,0,0,0,0,TN,
,003717,DELF A1                 ,DELF A1                                                                                                                           ,LA,3,3,0,0,,0,0,0,0,0,0,0,TN,
,003718,DELF A2                 ,DELF A2                                                                                                                           ,LA,0,0,0,0,,0,0,0,0,0,0,0,TN,
,003719,DELF A3                 ,DELF A3                                                                                                                           ,LA,0,0,0,0,,0,0,0,0,0,0,0,TN,
,003720,ANH VAN 5 (XD)          ,English 5                                                                                                                         ,LA,2,2,675,45,Prsn,0,45,0,225,0,0,0,TN,
,003721,ANH VAN 6 (XD)          ,English 6                                                                                                                         ,LA,2,2,675,45,Prsn,0,45,0,225,0,0,0,TN,
,003722,ANH VAN 7 (XD)          ,English 7                                                                                                                         ,LA,2,2,675,45,Prsn,0,45,0,225,0,0,0,TN,
,003723,ANH VAN 8 (XD)          ,English 8                                                                                                                         ,LA,2,2,675,45,Prsn,0,45,0,225,0,0,0,TN,
,003724,ANH VAN 9 (XD)          ,English 9                                                                                                                         ,LA,2,2,675,45,Prsn,0,45,0,225,0,0,0,TN,
