room_id,room_description,resource_type
CS2-NHATHIDAU-SAN7,SL,OTHER_SPECIAL
CS2-NHATHIDAU-SAN8,SL,OTHER_SPECIAL
CS2-NHATHIDAU-SAN1,SL,OTHER_SPECIAL
CS2-NHATHIDAU-SAN4,SL,OTHER_SPECIAL
CS2-NHATHIDAU-SAN5,SL,OTHER_SPECIAL
CS2-NHATHIDAU-SAN6,SL,OTHER_SPECIAL
H6-402,V3,GENERAL
H6-303.2,TB,GENERAL
H6-102,T3,GENERAL
H6-002,T4,GENERAL
H6-003,T7,GENERAL
H2-104,PO,GENERAL
H6-605,N6,GENERAL
H6-601,N5,GENERAL
H6-707,CI,GENERAL
H6-501,ND,GENERAL
H6-303.1,T6,GENERAL
H2-007,CL,COMPUTER_LAB
H2-107,NX,GENERAL
H2-005,CS,COMPUTER_LAB
H2-105,N1,GENERAL
H6-708,CI,GENERAL
H6-702,HM,CHEMISTRY_LAB
H6-703,HM,CHEMISTRY_LAB
H2-709,NO,GENERAL
BKE-212,HN,GENERAL
H2-807,M5,GENERAL
H2-711,M4,GENERAL
BKE-208,PH,PHYSICS_LAB
H6-202,O2,GENERAL
H1-710,H#,GENERAL
H1-703,LH,GENERAL
H6-308,LH,GENERAL
BKE-209,NN,GENERAL
CS2-NHATHIDAU-SANA,SL,OTHER_SPECIAL
CS2-NHATHIDAU-SANB,SL,OTHER_SPECIAL
CS2-NHATHIDAU-SANC,SL,OTHER_SPECIAL
CS2-NHATHIDAU-SAND,SL,OTHER_SPECIAL
CS2-NHATHIDAU-SANE,SL,OTHER_SPECIAL
CS2-NHATHIDAU-SANF,SL,OTHER_SPECIAL
CS2-NHATHIDAU-SANG,SL,GENERAL
CS2-NHATHIDAU-SANH,SL,GENERAL
CS2-NHATHIDAU-SANI,SL,GENERAL
CS2-NHATHIDAU-SANJ,SL,GENERAL
CS2-NHATHIDAU-SANK,SL,GENERAL
H6-701,HM,GENERAL
H1-310,LH,GENERAL
H6-506,LH,GENERAL
H6-512,LH,GENERAL
H6-514,LH,GENERAL
H6-516,LH,GENERAL
H6-510,LH,GENERAL
H3-202,TK,STUDIO
H3-201,LH,GENERAL
H3-102,LH,GENERAL
H3-103,LH,GENERAL
H3-104,LH,GENERAL
H3-107,LH,GENERAL
H3-206,LH,GENERAL
H3-207,LH,GENERAL
H3-205,LH,GENERAL
H3-203,CM,COMPUTER_LAB
H1-312,LH,GENERAL
H1-106,LH,GENERAL
H6-504,LH,GENERAL
H3-101,LH,GENERAL
H3-301,LH,GENERAL
H3-302,LH,GENERAL
H3-303,LH,GENERAL
H3-304,LH,GENERAL
H3-305,LH,GENERAL
H3-306,LH,GENERAL
H3-401,LH,GENERAL
H3-402,LH,GENERAL
H3-403,LH,GENERAL
H3-404,LH,GENERAL
H3-405,LH,GENERAL
H3-406,LH,GENERAL
H3-501,LH,GENERAL
H3-502,LH,GENERAL
H3-503,LH,GENERAL
H3-504,LH,GENERAL
H3-505,LH,GENERAL
