course_id,course_name,resource_type
202085,KT DK TDONG BANG KHI NEN,GENERAL
202086,QLY & KT BAO TRI CNGHIEP,MECHANICAL_WORKSHOP
202087,DAM BAO CHAT LUONG,GENERAL
202088,MAY CHE BIEN,GENERAL
202089,TRANG BI DIEN & DIEN TU,ELECTRICAL_LAB
202091,BOM QUAT MAY NEN,GENERAL
202100,CONG NGHE CO KHI 1,MECHANICAL_WORKSHOP
202101,KY THUAT DO LUONG,PHYSICS_LAB
202102,PP THIET KE KY THUAT,GENERAL
202103,KY THUAT CHE TAO 3,MECHANICAL_WORKSHOP
202104,CAD/CAM/CNC,COMPUTER_LAB
202105,TU DONG HOA SAN XUAT,ELECTRICAL_LAB
202106,KY THUAT CHE TAO (CO DT),MECHANICAL_WORKSHOP
202107,CONG NGHE NANO,GENERAL
202108,KIEM TRA KHONG PHA HUY,GENERAL
202109,TU DONG HOA TRONG CN 1,ELECTRICAL_LAB
202110,CONG NGHE CO KHI 2,MECHANICAL_WORKSHOP
202111,CONG NGHE CO KHI 3,MECHANICAL_WORKSHOP
202112,CONG NGHE CO KHI 4,GENERAL
202113,CONG NGHE KHI NEN 1,MECHANICAL_WORKSHOP
202114,TU DONG HOA TRONG CN 2,ELECTRICAL_LAB
202115,CONG NGHE KHI NEN 2,MECHANICAL_WORKSHOP
202116,TIEU CHUAN HOA,GENERAL
202117,CHAT LUONG - AN TOAN,GENERAL
202118,KT AN TOAN & MOI TRUONG,GENERAL
202119,KY THUAT CHE TAO 2,MECHANICAL_WORKSHOP
202151,KT DO LUONG TRONG C/NGH,GENERAL
202152,TN DO LUONG TRONG C/NGH,MECHANICAL_WORKSHOP
202153,NG/LY CAT & DUNG CU CAT,GENERAL
202154,MAY CONG NGHIEP,GENERAL
202155,MAY CAT KL+BTLON,GENERAL
202156,CO SO CNGHE CHE TAO MAY,GENERAL
202157,KT BAO DUONG MAY CN,GENERAL
202159,AN TOAN LAO DONG,GENERAL
202160,CONG NGHE CHE TAO MAY 2,GENERAL
202161,MAY CNC,GENERAL
202162,TRANG BI DIEN,GENERAL
202163,TU DONG HOA,GENERAL
202701,CO KHI DAI CUONG,GENERAL
202702,CAC CAM BIEN,GENERAL
202703,CHE TAO,GENERAL
202704,TR/DONG THUY LUC &KHINEN,GENERAL
202901,TOI UU HOA = MTDT,GENERAL
202902,THIET KE MAY CONG CU,GENERAL
202903,THIET KE DUNG CU CAT,GENERAL
202904,PP GIA CONG DAC BIET,GENERAL
202905,TU DONG HOA QUI TRINH CN,GENERAL
202906,TK DUNG CU CAT KIM LOAI,GENERAL
202907,MAY DIEU KHIEN CHTRINHSO,GENERAL
202908,TOI UU HOA QTSX C/NGHIEP,GENERAL
202909,MAY CONG NGHIEP,GENERAL
202910,CN GIA CONG TREN MAY CNC,MECHANICAL_WORKSHOP
203002,MAY NANG CHUYEN,GENERAL
203003,KY THUAT NANG-VAN CHUYEN,MECHANICAL_WORKSHOP
203004,MAY XAY DUNG,GENERAL
203005,MAY LAM DAT,MECHANICAL_WORKSHOP
203006,KT RUNG TRONG MAY X/DUNG,MECHANICAL_WORKSHOP
203007,T/BI CO GIOI HOA XNCN,GENERAL
203008,KCAU THEP THIET BI NANG,GENERAL
203009,TRUYEN DONG MAY XAY DUNG,MECHANICAL_WORKSHOP
203010,THANG MAY,MECHANICAL_WORKSHOP
203011,MAY SXVL & CAU KIEN XD,MECHANICAL_WORKSHOP
203013,KTHAC &SCHUA MAY XAYDUNG,MECHANICAL_WORKSHOP
203014,TUDONG HOA TRG MAY XDUNG,ELECTRICAL_LAB
203016,MAY XEP DO,GENERAL
203017,DONG LUC HOC MAY XAYDUNG,GENERAL
203018,UD TIN HOC TRG T/KE MXD,COMPUTER_LAB
203019,CAC MAY TRUC,GENERAL
203020,MAY VAN CHUYEN LIEN TUC,GENERAL
203051,MAY NANG CHUYEN,GENERAL
203901,TRUYEN DONG MAY XAY DUNG,GENERAL
203902,UNG DUNG RUNG TRONG MXD,GENERAL
203903,SU DUNG & SUA CHUA MXD,GENERAL
203904,TK MAY XAY DUNG (BTL),GENERAL
203905,MAY LAM DAT,GENERAL
203906,KC KIM LOAI CUA TB NANG,GENERAL
203907,MAY SX VLIEU XD& CAUKIEN,GENERAL
203908,THANG MAY,GENERAL
203909,CD DAMH THIET BI NANG,GENERAL
204001,CS C/NGHE TAO SOI & VAI,GENERAL
204002,CO SO CONG NGHE MAY,GENERAL
204003,CO SO CONG NGHE HOAN TAT,GENERAL
204004,CONG NGHE SOI,GENERAL
204005,CAU TRUC SOI,GENERAL
204006,CN SOCHE NGUYEN LIEU DET,GENERAL
204007,THIET BI SOI DET,GENERAL
204008,VAT LIEU DET,GENERAL
204009,CONG NGHE DET THOI,OTHER_SPECIAL
204010,CONG NGHE DET KIM,OTHER_SPECIAL
204011,KHOA HOC VAT LIEU DET,GENERAL
204012,K/TRA &PT VAT LIEU D/MAY,OTHER_SPECIAL
204013,"VL VAI KT, VAI KHONG DET",GENERAL
204014,CONG NGHE NHUOM -IN BONG,CHEMISTRY_LAB
204015,DAI CUONG CN DET-MAY 1,GENERAL
204016,THI NGHIEM VAT LIEU DET,OTHER_SPECIAL
204017,MY THUAT CN TRONG DETMAY,GENERAL
204018,DAI CUONG CN DET MAY 2,GENERAL
204019,KT DO LUONG TRG DET MAY,GENERAL
204020,CONG NGHE KEO SOI,OTHER_SPECIAL
204021,CAU TRUC VAI DET THOI,GENERAL
204022,HOA DET 1,GENERAL
204023,THI NGHIEM HOA DET 1,CHEMISTRY_LAB
204024,HOA DET 2,GENERAL
204025,THI NGHIEM HOA DET 2,CHEMISTRY_LAB
204026,HOA DET 3,GENERAL
204027,THI NGHIEM HOA DET 3,CHEMISTRY_LAB
204028,HOA DET 4,GENERAL
204029,CN GIA CONG XO NHAN TAO,OTHER_SPECIAL
204031,THIET KE VAI DET THOI,GENERAL
204032,THIET KE VAI DET KIM,GENERAL
204034,CONG NGHE MAY 1,OTHER_SPECIAL
204035,CONG NGHE MAY 2,OTHER_SPECIAL
204036,CO SO TH/KE TRANG PHUC,STUDIO
