room_id,campus,capacity,room_type,resource_type
H6-306,2,80,LH,GENERAL
H6-310,2,80,LH,GENERAL
H6-311,2,135,LH,GENERAL
H6-312,2,80,LH,GENERAL
H6-313,2,80,LH,GENERAL
H6-411,2,80,LH,GENERAL
H6-412,2,123,LH,GENERAL
H6-413,2,80,LH,GENERAL
H6-414,2,80,LH,GENERAL
H6-415,2,80,LH,GENERAL
H6-GDH6,2,318,HG,GENERAL
CS2-NHATHIDAU-SAN2,2,68,SL,GENERAL
CS2-NHATHIDAU-SAN3,2,68,SL,GENERAL
CS2-NHATHIDAU-SAN7,2,60,SL,GENERAL
CS2-NHATHIDAU-SAN8,2,60,SL,GENERAL
CS2-NHATHIDAU-SAN1,2,68,SL,GENERAL
CS2-NHATHIDAU-SAN4,2,60,SL,GENERAL
CS2-NHATHIDAU-SAN5,2,60,SL,GENERAL
CS2-NHATHIDAU-SAN6,2,60,SL,GENERAL
H6-402,2,30,V3,GENERAL
H6-303.2,2,30,TB,GENERAL
H6-102,2,30,T3,GENERAL
H6-002,2,30,T4,GENERAL
H6-003,2,48,T7,GENERAL
H2-104,2,60,PO,GENERAL
H6-605,2,40,N6,GENERAL
H6-601,2,40,N5,GENERAL
H6-707,2,40,CI,GENERAL
H6-501,2,50,ND,GENERAL
H6-303.1,2,36,T6,GENERAL
H2-007,2,35,CL,GENERAL
H2-107,2,30,NX,GENERAL
H2-005,2,30,CS,GENERAL
H2-105,2,30,N1,GENERAL
H6-708,2,40,CI,GENERAL
H6-702,2,40,HM,GENERAL
H6-703,2,40,HM,GENERAL
H2-709,2,30,NO,GENERAL
BKE-212,2,40,HN,GENERAL
H2-807,2,30,M5,GENERAL
H2-711,2,40,M4,GENERAL
BKE-208,2,40,PH,GENERAL
H6-202,2,30,O2,GENERAL
H1-710,2,40,H#,GENERAL
H1-703,2,84,LH,GENERAL
H6-308,2,144,LH,GENERAL
BKE-209,2,40,NN,GENERAL
CS2-NHATHIDAU-SANA,2,60,SL,GENERAL
CS2-NHATHIDAU-SANB,2,60,SL,GENERAL
CS2-NHATHIDAU-SANC,2,60,SL,GENERAL
CS2-NHATHIDAU-SAND,2,60,SL,GENERAL
CS2-NHATHIDAU-SANE,2,60,SL,GENERAL
CS2-NHATHIDAU-SANF,2,60,SL,GENERAL
CS2-NHATHIDAU-SANG,2,60,SL,GENERAL
CS2-NHATHIDAU-SANH,2,60,SL,GENERAL
CS2-NHATHIDAU-SANI,2,60,SL,GENERAL
CS2-NHATHIDAU-SANJ,2,60,SL,GENERAL
CS2-NHATHIDAU-SANK,2,60,SL,GENERAL
H6-701,2,40,HM,GENERAL
H1-310,2,66,LH,GENERAL
H6-506,2,102,LH,GENERAL
H6-512,2,105,LH,GENERAL
H6-514,2,108,LH,GENERAL
H6-516,2,114,LH,GENERAL
H6-510,2,102,LH,GENERAL
H3-202,2,45,TK,GENERAL
H3-201,2,142,LH,GENERAL
H3-102,2,68,LH,GENERAL
H3-103,2,68,LH,GENERAL
H3-104,2,68,LH,GENERAL
H3-107,2,106,LH,GENERAL
H3-206,2,68,LH,GENERAL
H3-207,2,68,LH,GENERAL
H3-205,2,106,LH,GENERAL
H3-203,2,40,CM,GENERAL
H1-312,2,66,LH,GENERAL
H1-106,2,66,LH,GENERAL
H6-504,2,106,LH,GENERAL
H3-101,2,68,LH,GENERAL
H3-301,2,142,LH,GENERAL
H3-302,2,68,LH,GENERAL
H3-303,2,88,LH,GENERAL
H3-304,2,88,LH,GENERAL
H3-305,2,68,LH,GENERAL
H3-306,2,142,LH,GENERAL
H3-401,2,142,LH,GENERAL
H3-402,2,68,LH,GENERAL
H3-403,2,88,LH,GENERAL
H3-404,2,88,LH,GENERAL
H3-405,2,68,LH,GENERAL
H3-406,2,142,LH,GENERAL
H3-501,2,142,LH,GENERAL
H3-502,2,68,LH,GENERAL
H3-503,2,88,LH,GENERAL
H3-504,2,88,LH,GENERAL
H3-505,2,68,LH,GENERAL
H3-506,2,142,LH,GENERAL
H6-006,2,40,NM,GENERAL
H2-802,2,30,DA,GENERAL
H3-005,2,30,LA,GENERAL
H3-007,2,30,LO,GENERAL
H3-001A,2,35,B1,GENERAL
H3-002A,2,30,B3,GENERAL
H2-705,2,30,B5,GENERAL
H6-301,2,30,T2,GENERAL
H6-4031,2,30,SA,GENERAL
TT THE DUC THE THAO,2,100,SL,GENERAL
H2-004,2,30,B6,GENERAL
TT GIAO DUC QP-AN,2,100,SL,GENERAL
H6-811,2,174,LH,GENERAL
H6-201,2,120,LH,GENERAL
H6-405,2,120,LH,GENERAL
H6-802,2,150,LH,GENERAL
H6-810,2,156,LH,GENERAL
H6-016,2,40,NM,GENERAL
H6-203A,2,24,T8,GENERAL
H6-203B,2,24,T8,GENERAL
H1-708,2,30,AS,GENERAL
HOBOI KV THU DUC,2,100,HB,GENERAL
H6-4021,2,30,V4,GENERAL
H3-011,2,30,PC,GENERAL
H6-011,2,25,T1,GENERAL
H6-012,2,25,T1,GENERAL
H3-606,2,150,LH,GENERAL
