course_id,course_name,faculty_id,faculty_name,credits,total_hours,lecture_hours,exercise_hours,lab_hours,project_hours,assignment_hours,thesis_hours,course_type,companion_course_id,resource_type,resource_confidence
200005,CHUYEN DE A,ME,,4,60,60,0,0,0,0,0,LECTURE,,GENERAL,1.0
200009,DO HOA DIEN TOAN,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200010,PP PHAN TICH HH,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200011,KY THUAT HOC 1,20,,3,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200012,DAN HOI & DEO,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200013,MO HINH HOA HINH HOC,ME,,2,45,30,0,15,0,0,0,LECTURE,,GENERAL,1.0
200015,CAC CHUYEN DE HK9,ME,,4,60,60,0,0,0,0,0,LECTURE,,GENERAL,1.0
200016,CHUYEN DE B,ME,,8,120,120,0,0,0,0,0,LECTURE,,GENERAL,1.0
200017,DO HOA DIEN TOAN,ME,,3,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200018,CN GIA CONG CHINH XAC,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200019,HAN KIM LOAI (KTCT),ME,,2,45,30,5,10,0,1,0,LECTURE,,GENERAL,1.0
200020,GIA CONG VL PHI KIM LOAI,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200021,QL & KT BAO TRI CNGHIEP,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200022,VI XU LY UNG DUNG,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200023,VAT LIEU COMPOSITE(KTCT),ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200024,VATLIEU PHI K.LOAI(KTCT),ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200025,THIET KE SAN PHAM,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200026,VE KY THUAT CO KHI,ME,,3,75,66,9,0,0,0,0,LECTURE,,GENERAL,1.0
200027,TOI UU HOA,ME,,2,45,30,0,15,0,0,0,LECTURE,,GENERAL,1.0
200029,KT THUY LUC & KHI NEN,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200030,THIET KE HT CO DIEN TU,ME,,3,60,45,0,15,0,0,0,LECTURE,,GENERAL,1.0
200032,D/KHIEN BANG BIEN TRTHAI,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200033,VAT LIEU MOI,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200034,MAY CHE BIEN,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200035,KY THUAT HOC 2,20,,3,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200036,TT DIEN - DIEN TU 1(CK),ME,,1,30,0,0,30,0,0,0,LAB,,GENERAL,1.0
200037,TT DIEN - DIEN TU 2(CK),ME,,1,30,0,0,30,0,0,0,LAB,,GENERAL,1.0
200051,DO HOA DIEN TOAN,ME,,4,30,15,0,15,0,0,0,LECTURE,,GENERAL,1.0
200064,THUC TAP KY THUAT,ME,,2,60,0,0,60,0,0,0,LAB,,GENERAL,1.0
200151,TOI UU HOA QTSX & QLXN,ME,,6,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
200152,THUC HANH TOI UU HOA,ME,,0,15,0,0,15,0,0,0,LAB,,GENERAL,1.0
200300,NHAP MON KY THUAT,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
200310,KNANG GTIEP-NG/NGHE (BT),ME,,0,15,0,15,0,0,0,0,PRACTICAL,,GENERAL,1.0
201001,CO HOC LY THUYET,20,,3,60,45,15,0,0,1,0,LECTURE,,GENERAL,1.0
201003,CO UNG DUNG 1,20,,5,75,60,15,0,0,0,0,LECTURE,,GENERAL,1.0
201004,CO UNG DUNG 2,20,,5,75,60,15,0,0,0,0,LECTURE,,GENERAL,1.0
201005,P/PHAP TOI UU & QHTN,20,,4,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
201006,PHUONG PHAP TOI UU,20,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
201008,P/PHAP TINH & LT TOI UU,20,,4,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
201009,CO HOC,20,,2,60,30,30,0,0,0,0,LECTURE,,GENERAL,1.0
201010,CO HOC UNG DUNG,20,,3,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
201011,CO LY THUYET,20,,3,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
201012,CO HOC 2,20,,3,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
201013,CO HOC MAY,20,,4,60,60,0,0,0,0,0,LECTURE,,GENERAL,1.0
201014,P/PHAP TOI UU & QHTN,20,,4,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
201015,CO LY THUYET,20,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
201016,CO UNG DUNG,20,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
201017,CO LY THUYET,20,,5,75,75,0,0,0,0,0,LECTURE,,GENERAL,1.0
201018,CO HOC,20,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
201019,CO LY THUYET 1,20,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
201020,CO LY THUYET NANG CAO,20,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
201021,CO KY THUAT (CKT),20,,3,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
201022,COHOC MOITRUONG LIEN TUC,20,,3,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
201023,CAD UNG DUNG,20,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
201024,DAO DONG CO SO,20,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
201025,DAO DONG KY THUAT,20,,3,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
201026,DAN HOI UNG DUNG A,20,,3,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
201027,DOLUONG CAC DLUONG PDIEN,20,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
201028,LY THUYET DAN HOI,20,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
201029,LY THUYET DEO KY THUAT,20,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
201030,PP PHAN TU HUU HAN (CKT),20,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
201031,PP PHANTU HHAN UDUNG(CKT,20,,3,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
201032,THIET KE KY THUAT,20,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
201034,TT MOPHONG CO KY THUAT 1,20,,2,60,0,0,60,0,0,0,LAB,,GENERAL,1.0
201035,TT MO PHONG CO KY THUA,20,,2,60,0,0,60,0,0,0,LAB,,GENERAL,1.0
201036,THI NGHIEM CO HOC,20,,2,60,0,0,60,0,0,0,LAB,,GENERAL,1.0
201037,UD CAC PMEM TRG TT COHOC,20,,3,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
201038,XULY TIENG ON TRG KTHUAT,20,,3,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
201039,UNG XU CO HOC CUA V/LIEU,20,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
201041,CO HOC,20,,3,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
201042,TH L/TRINH T/TOAN CO HOC,20,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
201043,PT S/LIEU T/NGHIEM C/HOC,20,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
201051,CO LY THUYET 1,20,,4,30,30,0,0,0,0,0,LECTURE,,GENERAL,1.0
201052,CO LY THUYET 2,20,,3,30,30,0,0,0,0,0,LECTURE,,GENERAL,1.0
201053,CO UNG DUNG 1,20,,5,40,40,0,0,0,0,0,LECTURE,,GENERAL,1.0
201054,CO UNG DUNG 2,20,,5,40,40,0,0,0,0,0,LECTURE,,GENERAL,1.0
201055,PHUONG PHAP TOI UU,20,,3,25,25,0,0,0,0,0,LECTURE,,GENERAL,1.0
201056,CO UNG DUNG,20,,2,30,30,0,0,0,0,0,LECTURE,,GENERAL,1.0
201057,CO HOC,20,,4,30,30,0,0,0,0,0,LECTURE,,GENERAL,1.0
201058,CO LY THUYET,20,,8,60,60,0,0,0,0,0,LECTURE,,GENERAL,1.0
201059,CO UNG DUNG,20,,4,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
201060,CO LY THUYET,20,,5,525,525,0,0,0,0,0,LECTURE,,GENERAL,1.0
201061,CO UNG DUNG,20,,5,525,525,0,0,0,0,0,LECTURE,,GENERAL,1.0
201101,BAI TAP CO HOC,20,,0,15,0,15,0,0,0,0,PRACTICAL,,GENERAL,1.0
201102,BAI TAP CO UNG DUNG,20,,0,15,0,15,0,0,0,0,PRACTICAL,,GENERAL,1.0
201103,BAI TAP CO LY THUYET,20,,0,15,0,15,0,0,0,0,PRACTICAL,,GENERAL,1.0
201701,COHOC DC &CH MTR LIENTUC,20,,3,48,30,18,0,0,0,0,LECTURE,,GENERAL,1.0
201702,DAO DONG 1,20,,1,21,12,0,0,0,9,0,LECTURE,,GENERAL,1.0
201703,DAO DONG 2,20,,1,21,12,0,0,0,9,0,LECTURE,,GENERAL,1.0
201704,CO HOC BAY 2,TR,,2,42,24,0,0,0,18,0,LECTURE,,GENERAL,1.0
201705,HU HONG & PHA HUY 1,20,,1,21,12,0,0,0,9,0,LECTURE,,GENERAL,1.0
201706,HU HONG & PHA HUY 2,20,,2,48,21,0,0,0,27,0,LECTURE,,GENERAL,1.0
201707,CO HOC VAT RAN & SONG CO,20,,3,60,30,30,0,0,0,0,LECTURE,,GENERAL,1.0
201708,CAC CTRUCHK-C/HOC PHAHUY,TR,,1,21,12,0,0,0,9,0,LECTURE,,GENERAL,1.0
201801,CO HOC LY THUYET,20,,3,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
202001,TN K/THUAT THUY LUC&KNEN,ME,,1,30,0,0,30,0,0,0,LAB,,GENERAL,1.0
202002,TN DUNG SAI &KY THUAT DO,ME,,1,30,0,0,30,0,0,0,LAB,,GENERAL,1.0
202003,CN & T/BI GIA CONG C/XAC,ME,,2,45,30,15,0,0,1,0,LECTURE,,GENERAL,1.0
202004,NG/LY GIA CONG VAT LIEU,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
202005,T/KE D/BAO C/TAO &LAPRAP,ME,,2,45,30,15,0,0,1,0,LECTURE,,GENERAL,1.0
202006,THIET KE TRANG BI C/NGHE,ME,,2,45,30,0,15,0,0,0,LECTURE,,GENERAL,1.0
202007,DUNG SAI & KY THUAT DO,ME,,2,45,30,15,0,0,1,0,LECTURE,,GENERAL,1.0
202008,KY THUAT DONG THOI,ME,,2,45,30,15,0,0,1,0,LECTURE,,GENERAL,1.0
202009,"BOM, QUAT, MAY NEN KHI",ME,,2,45,30,9,6,0,1,0,LECTURE,,GENERAL,1.0
202010,KYTHUAT THUY LUC&KHI NEN,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
202011,"LAP DAT,VAN HANH&SC TBCN",ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
202012,DUNG SAI,ME,,2,30,30,0,0,0,0,0,LECTURE,,GENERAL,1.0
202013,DUNG SAI - KY THUAT DO,ME,,3,60,40,8,12,0,1,0,LECTURE,,GENERAL,1.0
202014,CAC PP G/CONG KHONG PHOI,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
202015,K/THUAT THUY LUC-KHI NEN,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
202016,TN KT THUY LUC - KHI NEN,ME,,1,30,0,0,30,0,0,0,LAB,,GENERAL,1.0
202017,LY THUYET AN KHOP,ME,,2,30,30,0,0,0,0,0,LECTURE,,GENERAL,1.0
202018,LY THUYET TAO HINH,ME,,2,30,30,0,0,0,0,0,LECTURE,,GENERAL,1.0
202019,MAY CHE BIEN,ME,,6,90,90,0,0,0,0,0,LECTURE,,GENERAL,1.0
202020,KY THUAT CHE TAO,ME,,4,75,60,15,0,0,0,0,LECTURE,,GENERAL,1.0
202021,N/LY CAT & DUNG CU CAT,ME,,4,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
202022,P/PHAP GIA CONG TINH XAC,ME,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
202023,P/PHAP PHAN TU HUU HAN,ME,,2,30,30,0,0,0,0,0,LECTURE,,GENERAL,1.0
202024,T/KE MAY CAT KIM LOAI,ME,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
202025,THIET KE NHA MAY CO KHI,ME,,2,30,30,0,0,0,0,0,LECTURE,,GENERAL,1.0
202026,TK DO GA GIA CONG K.LOAI,ME,,2,30,30,0,0,0,0,0,LECTURE,,GENERAL,1.0
202027,TOI UU HOA PHUONG AN CN,ME,,2,30,30,0,0,0,0,0,LECTURE,,GENERAL,1.0
202028,T/BI DIEN TRONG MCKL A,ME,,2,30,25,0,5,0,0,0,LECTURE,,GENERAL,1.0
202029,T/BI DIEN TRONG MCKL B,ME,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
202030,TU DONG HOA QT CONG NGHE,ME,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
202033,TBI KHOAN & KHAI THAC DK,20,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
202034,CHE TAO CO KHI 1,ME,,3,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
202035,CHE TAO CO KHI 2,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
202036,T/KE QUI TRINH CONG NGHE,ME,,3,75,45,15,15,0,0,0,LECTURE,,GENERAL,1.0
